,backtest
2019-01-02,10000000
2019-04-01,10860582
2019-07-01,11241369
2019-10-01,11264339
2020-01-02,11785604
2020-04-01,10394461
2020-07-01,11825565
2020-10-05,12432847
2021-01-04,13364654
2021-04-01,13441278
2021-07-01,13980054
