,name,code,2016 매출,2017 매출,2018 매출,2019 매출,2020 매출,매출 증가 Check,2016 영업이익,2017 영업이익,2018 영업이익,2019 영업이익,2020 영업이익,영업이익 Check,영업이익 증가 Check,2016 ROE,2017 ROE,2018 ROE,2019 ROE,2020 ROE,ROE 평균 check,2016 배당금,2017 배당금,2018 배당금,2019 배당금,2020 배당금,배당금증가 Check,현금배당수익률,배당 checker,Unnamed: 1_level_1 매출,Unnamed: 1_level_1 영업이익,Unnamed: 1_level_1 ROE,Unnamed: 1_level_1 배당금,Unnamed: 2_level_1 매출,Unnamed: 3_level_1 매출,Unnamed: 2_level_1 영업이익,Unnamed: 3_level_1 영업이익,Unnamed: 2_level_1 ROE,Unnamed: 3_level_1 ROE,error code,2021 매출,2021 영업이익,2021 ROE,2021 배당금,Unnamed: 2_level_1 배당금,Unnamed: 4_level_1 매출,Unnamed: 5_level_1 매출,Unnamed: 4_level_1 영업이익,Unnamed: 5_level_1 영업이익,Unnamed: 4_level_1 ROE,Unnamed: 5_level_1 ROE,2015 매출,2015 영업이익,2015 ROE,2015 배당금
1912,티웨이홀딩스,004870,4119.0,6128.0,7375.0,8173.0,2769.0,False,142.0,455.0,433.0,-237.0,-1777.0,False,False,7.41,45.49,18.49,-17.06,-71.98,False,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,파미셀,005690,278.0,252.0,284.0,325.0,378.0,CHECK,-19.0,-46.0,3.0,20.0,72.0,False,False,-0.73,-29.53,-24.96,8.78,9.65,False,0.0,0.0,,,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,평화홀딩스,010770,5909.0,5501.0,5560.0,5811.0,5211.0,False,161.0,-60.0,-248.0,-36.0,-31.0,False,False,4.37,-1.32,-26.68,-11.1,-2.68,False,150.0,150.0,150.0,150.0,150.0,True,4.25,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,풀무원,017810,20307.0,21957.0,22720.0,23815.0,23112.0,CHECK,379.0,528.0,402.0,306.0,460.0,True,False,6.77,14.59,7.23,0.95,3.84,False,102.0,115.0,102.0,102.0,102.0,False,0.62,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1916,풍산홀딩스,005810,2976.0,3148.0,3061.0,2644.0,2659.0,False,665.0,736.0,365.0,108.0,94.0,True,False,10.07,10.27,5.09,3.39,1.92,False,1400.0,1800.0,1700.0,1400.0,826.0,False,4.21,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,프레스티지바이오파마,950210,,,,,,True,,,,,-109.0,False,False,,,,,,False,,0.0,0.0,0.0,0.0,True,,False,,,,,,,,,,,,,-184.0,-2.07,,,,,,,,,,,,
1918,하이트진로홀딩스,000140,18954.0,18812.0,18766.0,20263.0,22470.0,CHECK,1329.0,1001.0,1035.0,1009.0,2105.0,True,False,5.44,-2.8,-0.55,-4.65,13.88,False,200.0,150.0,200.0,350.0,400.0,False,2.66,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,한국단자공업,025540,7142.0,7444.0,7464.0,7721.0,8025.0,True,904.0,661.0,462.0,335.0,790.0,True,False,11.45,7.72,5.8,4.55,7.84,False,700.0,700.0,700.0,700.0,700.0,True,1.13,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,한국앤컴퍼니,000240,6900.0,8248.0,8480.0,8476.0,8209.0,CHECK,2616.0,1993.0,2115.0,1709.0,1565.0,True,False,,8.05,6.75,4.71,5.08,False,300.0,300.0,300.0,350.0,500.0,True,3.41,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,한국조선해양,009540,223004.0,154688.0,131610.0,151826.0,149037.0,False,3915.0,146.0,-4814.0,2902.0,744.0,False,False,3.67,18.17,-4.25,1.4,-7.42,False,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,한국카본,017960,2576.0,2391.0,2267.0,2734.0,4117.0,CHECK,269.0,58.0,62.0,253.0,757.0,True,False,5.51,0.24,-0.97,5.74,16.55,False,130.0,100.0,100.0,120.0,180.0,False,1.34,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,한농화성,011500,2050.0,2363.0,2232.0,2047.0,2083.0,False,82.0,79.0,57.0,120.0,138.0,True,False,8.97,8.29,5.32,8.58,10.34,False,110.0,140.0,120.0,150.0,180.0,False,2.02,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,한미약품,128940,8827.0,9166.0,10160.0,11136.0,10759.0,CHECK,268.0,822.0,836.0,1039.0,490.0,True,False,3.5,8.82,3.52,7.3,1.65,False,0.0,462.0,471.0,481.0,490.0,True,0.13,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,한익스프레스,014130,4679.0,5279.0,5659.0,5774.0,6153.0,True,89.0,101.0,95.0,111.0,107.0,True,False,9.93,11.15,8.16,7.29,-2.87,False,70.0,80.0,60.0,70.0,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,한전KPS,051600,12231.0,12368.0,12425.0,12470.0,13032.0,True,1058.0,1641.0,1915.0,1939.0,1354.0,True,False,11.2,16.04,17.08,14.98,8.23,True,680.0,1470.0,1790.0,1920.0,1146.0,False,3.86,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,한화투자증권,003530,15788.0,17128.0,19019.0,15712.0,27526.0,CHECK,-1929.0,655.0,972.0,1119.0,1000.0,False,False,-20.2,6.57,7.95,9.36,5.58,False,0.0,0.0,0.0,0.0,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,현대글로비스,086280,153406.0,163583.0,168656.0,182700.0,165199.0,False,7288.0,7271.0,7101.0,8765.0,6622.0,True,False,15.38,18.23,10.6,11.25,12.45,True,3000.0,3000.0,3300.0,3500.0,3500.0,True,1.9,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,현대약품,004310,1200.0,1276.0,1308.0,1346.0,1330.0,CHECK,25.0,-12.0,-27.0,20.0,31.0,False,False,1.38,-1.82,-2.47,1.41,2.52,False,46.0,49.0,45.0,45.0,42.0,False,0.66,False,,,,,,,,,,,,,,,,,,,,,,,,,,
